Title,Author,Category,Description,Query,Published,Modified
Removal of USB Storage Device -,SplunkNinja,WinRegistry,This query will detect if any USB storage device was removed from a Windows machine (confirmed on Windows 7). ,"'sourcetype=WinRegistry key_path=""HKLM\\\\system\\\\controlset*\\\\enum\\\\usbstor\\\\*"" \xa0process_image=""c:\\\\Windows\\\\System32\\\\svchost.exe"" \xa0registry_type=DeleteKey | eval Date=strftime(_time, ""%Y/%m/%d %H:%M:%S"") | rex ""key_path.*usbstor\\S(?&lt;DeviceType&gt;.*)&amp;ven\\S(?&lt;Vendor&gt;.*)&amp;prod\\S(?&lt;Product&gt;\\S*)&amp;rev\\S"" | stats count by Date, host, Vendor, Product, DeviceType \xa0\xa0| fields \xa0- count \xa0\xa0| sort \xa0- Date'",2015-04-09T01:09:57+00:00,
List of Users in a Linux Environment -,SplunkNinja,linux_secure,The following splunk query will ouput a list of user accounts appearing in linux_secure audit logs: ,"'sourcetype=linux_secure | rex ""\\suser^\'(?&lt;User&gt;\\S+\\w+)"" | stats count by User'",2015-04-14T18:31:01+00:00,
Count of Unique Users in a Linux Environment -,SplunkNinja,linux_secure,This splunk query will return the total number of unique users in a given time range. &nbsp; ,"'sourcetype=linux_secure | rex ""\\suser^\'(?&lt;User&gt;\\S+\\w+)"" | stats dc(User)'",2015-04-17T20:59:01+00:00,
Top 10 most active Users in Linux -,SplunkNinja,linux_secure,The following splunk query example will return the top 10 most active users in a given time range &nbsp; ,"'sourcetype=linux_secure | rex ""\\suser^\'(?&lt;User&gt;\\S+\\w+)"" | top limit=10 User'",2015-04-17T21:00:14+00:00,
List of Hosts in a Linux Environment -,SplunkNinja,linux_secure,The following splunk query example will return a list of hosts by hostname in a given time range. *NOTE* if the host field is being autoextracted (for instance if you are using a universal forwarder) you will not need the regex command and can call upon the auto extracted fieldname of &#8220;host&#8221; ,"'sourcetype=linux_secure |rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | stats count by hostname'",2015-04-17T21:02:37+00:00,
Count of Unique Hosts in Linux -,SplunkNinja,linux_secure,The following splunk query example will return a unique count of hosts in a given time range *NOTE* if the host field is being autoextracted (for instance if you are using a universal forwarder) you will not need the regex command and can call upon the auto extracted fieldname of &#8220;host&#8221; ,"'sourcetype=linux_secure |rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | stats dc(hostname)'",2015-04-17T21:04:01+00:00,
Top 10 Most Active Hosts in a Linux Environment -,SplunkNinja,linux_secure,,"'sourcetype=linux_secure |rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | top limit=10 hostname'",2015-04-17T21:05:38+00:00,
Number of Hosts the Root Account was Detected on -,SplunkNinja,linux_secure,,"'sourcetype=linux_secure |rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | rex ""\\suser^\'(?&lt;User&gt;\\S+\\w+)"" | search User=""root"" | stats dc(hostname)'",2015-04-17T21:07:24+00:00,
Escalation of Privileges via SU in Linux -,SplunkNinja,linux_secure,,"'sourcetype=linux_secure source=""/var/log/*"" ""su: ("" \xa0| eval Date=strftime(_time, ""%Y/%m/%d"") | rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | rex ""su:\\s\\Sto\\sroot\\S\\s(?&lt;SU&gt;\\S+)"" \xa0| stats \xa0count by Date, hostname, SU \xa0| rename \xa0count as ""Occurrences"" \xa0| rename \xa0SU as ""Account with Escalated Privileges"" | sort - Date'",2015-04-17T21:09:40+00:00,
Failed Windows Remote Desktop Connection Attempt -,SplunkNinja,WinEventLog:Security,"The following splunk query example will return results on any Windows remote desktop connection attempts. This could be a result of a bad password, invalid user name, or any number of other reasons. Ensure the Splunk App for Windows is installed grab it here:\xa0https://apps.splunk.com/app/742/ &nbsp; Windows Server 2008 and Newer: ","'source=WinEventLog:Security sourcetype=WinEventLog:security Logon_Type=10 EventCode=4625 | eval Date=strftime(_time, ""%Y/%m/%d"") | rex ""Failed:\\s+.*\\s+Account\\sName:\\s+(?&lt;TargetAccount&gt;\\S+)\\s"" | stats count by Date, TargetAccount, Failure_Reason, host | sort - Date', u'source=WinEventLog:Security sourcetype=WinEventLog:security Logon_Type=10 (EventCode=529 OR EventCode=530 OR EventCode=531 OR EventCode=532 OR EventCode=533 OR EventCode=534 OR EventCode=535 OR EventCode=536 OR EventCode=537 OR EventCode=539) | eval Date=strftime(_time, ""%Y/%m/%d"") | sort - Date'",2015-04-20T23:09:03+00:00,2015-04-20T23:10:06+00:00
Accounts Deleted within 24 Hours of Creation -,SplunkNinja,WinEventLog:Security,,"'sourcetype=WinEventLog:Security (EventCode=4726 OR EventCode=4720) |eval Date=strftime(_time, ""%Y/%m/%d"") |rex ""Subject:\\s+\\w+\\s\\S+\\s+\\S+\\s+\\w+\\s\\w+:\\s+(?&lt;SourceAccount&gt;\\S+)"" | rex ""Target\\s\\w+:\\s+\\w+\\s\\w+:\\s+\\S+\\s+\\w+\\s\\w+:\\s+(?&lt;DeletedAccount&gt;\\S+)"" | rex ""New\\s\\w+:\\s+\\w+\\s\\w+:\\s+\\S+\\s+\\w+\\s\\w+:\\s+(?&lt;NewAccount&gt;\\S+)"" | eval SuspectAccount=coalesce(DeletedAccount,NewAccount) | transaction SuspectAccount startswith=""EventCode=4720"" endswith=""EventCode=4726"" |eval duration=round(((duration/60)/60)/24, 2) | eval Age=case(duration&lt;=1, ""Critical"", duration&gt;1 AND duration&lt;=7, ""Warning"", duration&gt;7, ""Normal"")| table Date, index, host, SourceAccount, SuspectAccount, duration, Age | rename duration as ""Days Account was Active"" | sort + ""Days Account was Active""', u'sourcetype=WinEventLog:Security (EventCode=630 OR EventCode=624) |eval Date=strftime(_time, ""%Y/%m/%d"") | transaction Target_Account_Name startswith=""EventCode=624"" endswith=""EventCode=630"" |eval duration=round(((duration/60)/60)/24, 2) | eval Age=case(duration&lt;=1, ""Critical"", duration&gt;1 AND duration&lt;=7, ""Warning"", duration&gt;7, ""Normal"")| table Date, index, host, Caller_User_Name, Target_Account_Name, duration, Age | rename duration as ""Days Account was Active"" | sort - Date'",2015-04-20T23:05:45+00:00,2015-04-20T23:10:21+00:00
Linux Cron Job Information -,SplunkNinja,Cron,This splunk query example uses regex (regular expressions) to extract information on Linux cron jobs. *Note* this query has not been extensively tested ,"'sourcetype=""cron"" | eval Date=strftime(_time, ""%Y/%m/%d"") | rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | rex "":\\sfinished(?&lt;Info&gt;.*)"" \xa0| stats count by Date, hostname, Info'",2015-04-20T23:13:36+00:00,
Windows Failed Logons with Average Overlay -,ItsJohnLocke,WinEventLog:Security,This Splunk search will show any failed login attempt and graphically overlay an average value. &nbsp; ,"'sourcetype=""WinEventLog:Security"" (Logon_Type=2 OR Logon_Type=7 OR Logon_Type=10) (EventCode=4625 OR EventCode=529 OR EventCode=530 OR EventCode=531 OR EventCode=532 OR EventCode=533 OR EventCode=534 OR EventCode=535 OR EventCode=536 OR EventCode=537 OR EventCode=539) | timechart count(EventCode) as count | eventstats avg(count) as Average | eval average=round(average,0) | rename count as ""Failed Logons""'",2015-04-24T19:32:14+00:00,
Successful Windows Logons with Average Overlay -,ItsJohnLocke,WinEventLog:Security,The following Splunk query will display successful windows logins and overlay an average on visualizations. ,"'sourcetype=""WinEventLog:Security"" (Logon_Type=2 OR Logon_Type=7 OR Logon_Type=10) (EventCode=528 OR EventCode=540 OR EventCode=4624) | timechart count(EventCode) as count | eventstats avg(count) as Average | eval average=round(average,0) | rename count as ""Successful Logons""'",2015-04-24T19:32:51+00:00,
Clearing of Windows Audit Logs -,ItsJohnLocke,WinEventLog:Security,"This Splunk search will show anytime the windows audit logs (event viewer logs) have been cleared or deleted. Ensure the Splunk App for Windows is installed, you can grab it here:\xa0https://apps.splunk.com/app/742/ ","'source=WinEventLog:security (EventCode=1102 OR EventCode=517) | eval Date=strftime(_time, ""%Y/%m/%d"") | stats count by Client_User_Name, host, index, Date | sort - Date | rename Client_User_Name as ""Account Name""'",2015-04-24T19:32:53+00:00,
Unintended Windows Shutdowns -,ItsJohnLocke,WinEventLog:System,"This splunk query will show any unintended Windows system Shutdowns. Ensure the Splunk App for Windows is installed, you can grab it here:\xa0https://apps.splunk.com/app/742/ ","'sourcetype=""WinEventLog:system"" EventCode=6008 | eval Date=strftime(_time, ""%Y/%m/%d"") | table \xa0Date host, index, Message \xa0| sort \xa0- Date'",2015-04-24T19:32:54+00:00,
List of Legitimate Account Names in Windows -,ItsJohnLocke,WinEventLog:Security,,"'source=""WinEventLog:security"" (Logon_Type=2 OR Logon_Type=7 OR Logon_Type=10) (EventCode=528 OR EventCode=540 OR EventCode=4624) | rex ""New\\sLogon:\\s+.*\\s+Account\\sName:\\s+(?&lt;UserName&gt;\\S+)"" | eval Account=coalesce(User_Name,UserName) | stats count by Account | sort - count'",2015-04-24T19:32:56+00:00,
Comparing Stats Time Over Time -,kfeagans,_internal,,"'index=_internal earliest=-48h latest=-24h | bin _time span=10m | stats count by _time | eval window=""yesterday"" | append search index=_internal earliest=-24h | bin _time span=10m | stats count by _time | eval window=""today"" | eval _time=(_time-(60*60*24)) | timechart span=10m sum(count) by window'",2015-04-28T19:46:48+00:00,2015-04-28T19:47:56+00:00
Clean or Delete Data in a given Source -,SplunkNinja,Uncategorized,The following Splunk query will wipe or clear a data source. Ensure you specify an index else it will wipe the given source for all indexes. ,'source=path\\to\\sourcename | delete',2015-05-01T09:46:02+00:00,
Repeated Unsuccessful Logon Attempts in Linux -,SplunkNinja,linux_secure,"The following Splunk search query will return results for failed login attempts in a Linux environment for a specified time range. The regular expressions are defined within the search string, however if you already extracted the necessary fields you can ignore the regex section. &nbsp; ","'sourcetype=linux_secure | eval Date=strftime(_time, ""%Y/%m/%d"") | rex "".*:\\d{2}\\s(?&lt;hostname&gt;\\S+)"" | rex ""gdm\\S+\\sauthentication\\s(?&lt;status&gt;\\w+)"" | rex ""\\suser^\'(?&lt;User&gt;\\S+\\w+)"" | search status=failure| stats count as fails by Date, User, hostname | eval ""Alert Level""=case(fails&gt;=50, ""Critical"", fails&lt;50 AND fails&gt;=20, ""Warning"", fails&lt;20, ""Normal"") | sort - fails| rename fails as ""Failed Logon Attempts"" | rename User as ""Account in Question""'",2015-05-01T09:50:01+00:00,
Splunk License Gauge -,SplunkNinja,Uncategorized,This Splunk search query will show current license usage ,"'| rest splunk_server=local /services/licenser/pools | rename title AS Pool | search rest splunk_server=local /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id | join type=outer stack_id rest splunk_server=local /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields stack_id stack_quota | stats sum(used_bytes) as used max(stack_quota) as total | eval usedGB=round(used/1024/1024/1024,3) | eval totalGB=round(total/1024/1024/1024,3) | eval gauge_base=0 | eval gauge_danger=totalGB*0.8 | eval gauge_top=totalGB+0.001 | gauge usedGB gauge_base gauge_danger totalGB gauge_top'",2015-05-02T17:08:07+00:00,
Splunk License Usage Over the Last 30 Days -,SplunkNinja,Uncategorized,The following Splunk Search will show\xa0license usage\xa0over the past 30 days: ,"'index=_internal source=*license_usage.log type=""RolloverSummary"" earliest=-30d@d \xa0 | eval _time=_time - 43200 | bin _time span=1d | stats latest(b) AS b by slave, pool, _time | timechart span=1d sum(b) AS ""volume"" fixedrange=false | join type=outer _time search index=_internal source=*license_usage.log type=""RolloverSummary"" earliest=-30d@d | eval _time=_time - 43200 | bin _time span=1d | stats latest(stacksz) AS ""stack size"" by _time | fields - _timediff \xa0| foreach * eval &lt;&lt;FIELD&gt;&gt;=round(\'&lt;&lt;FIELD&gt;&gt;\'/1024/1024/1024, 3)'",2015-05-02T17:24:04+00:00,
Rename _time field in a TimeChart -,SplunkNinja,Uncategorized,When running a timechart splunk search query you may wish to rename the field _time. In order to do this you must first save the search to a dashboard or report. Once saved edit the source and add the following in the panel: ,"'&lt;option name=""charting.axisTitleX.text""&gt;Date&lt;/option&gt;'",2015-05-12T16:54:45+00:00,
Top 5 Visiting Countries in IIS -,SplunkNinja,IIS,The following Splunk query will list the top 5 visiting countries using the built in &#8220;iplocation&#8221; feature in Splunk: ,"'sourcetype=""iis"" | iplocation c_ip |top limit=5 Country | eval percent = round(percent,2) . "" %"" | rename count as Views | rename percent as Percent'",2015-05-16T02:41:03+00:00,
Visits by Days of the Week in IIS -,SplunkNinja,IIS,The following Splunk query will show the number of web visits for each weekday: ,"'sourcetype=""iis"" | eval uppercase=upper(substr(date_wday,1,1)).substr(date_wday,2)|dedup JSESSIONID| top limit=7 uppercase | eval sort_field=case(uppercase==""Sunday"",1, uppercase==""Monday"",2, uppercase==""Tuesday"",3, uppercase==""Wednesday"",4, uppercase==""Thursday"",5, uppercase==""Friday"",6, uppercase==""Saturday"",7) | sort + sort_field | fields - sort_field |rename count as Visits | rename uppercase as ""Day of the Week""'",2015-05-16T02:46:43+00:00,
Most Active Day and Least Active Day for IIS Web Traffic -,SplunkNinja,IIS,The following Splunk query will return the most active and the least active days for web traffic in an IIS environment: ,"'sourcetype=""iis"" | bucket span=1d _time |top limit=1 _time | eval Date=strftime(_time, ""%m/%d/%Y"") | eval Metric=""Most Active Date"" | append search sourcetype=""iis"" | bucket span=1d _time |rare limit=1 _time | eval Date=strftime(_time, ""%m/%d/%Y"") | eval Metric=""Least Active Date"" | fields - _time, count, percent | fields Metric, Date'",2015-05-16T02:51:28+00:00,
Total Hits on Least Active Day in IIS -,SplunkNinja,IIS,The following Splunk Query will return the total number of hits to a web site on the least active day of a given time range: ,"'sourcetype=""iis"" | \xa0rare limit=1 date_mday | rename count as Value | fieldformat Value=tostring(Value,""commas"")| eval Metric=""Number of hits on least active date"" | fields - date_mday, count, percent | fields Metric, Value'",2015-05-16T02:54:29+00:00,
Total Hits on Most Active Day in IIS -,SplunkNinja,IIS,The following Splunk query will return the total number of hits on the most active day in a given time range within an IIS environment: ,"'sourcetype=""iis"" | \xa0top limit=1 date_mday | rename count as Value| fieldformat Value=tostring(Value,""commas"") | eval Metric=""Number of hits on Most active date"" | fields - date_mday, count, percent | fields Metric, Value'",2015-05-16T02:55:46+00:00,
Visits by Hour of the Day in IIS -,SplunkNinja,IIS,The following Splunk query will list the total visits for each hour in a given time range. ,"'sourcetype=""iis"" | top limit=24 date_hour | sort +date_hour | rename count as Visits | rename date_hour as ""Hour of the Day""'",2015-05-16T02:58:24+00:00,
Weekend Web Traffic Summary in IIS -,SplunkNinja,IIS,The following Splunk query will return a summary of weekend activity for a given IIS hosted website. ,"'sourcetype=""iis"" (date_wday=saturday OR date_wday=sunday) | stats count(JSESSIONID) as Value | eval Metric=""Total Hits on Weekends"" | append search sourcetype=""iis"" (date_wday=saturday OR date_wday=sunday)| stats dc(JSESSIONID) as Value | eval Metric=""Total Visits on Weekends"" | append search sourcetype=""iis"" (date_wday=saturday OR date_wday=sunday) JSESSIONID=* | stats dc(JSESSIONID) as count by date_wday | stats avg(count) as Value by date_wday | eval Value=round(Value) | top limit=1 Value | eval Metric = ""Average Number of Visits per day on Weekends""| append search sourcetype=""iis"" (date_wday=saturday OR date_wday=sunday) JSESSIONID=* | stats count(JSESSIONID) as count by date_wday | stats avg(count) as Value by date_wday | eval Value=round(Value) | top limit=1 Value | eval Metric = ""Average Number of Hits per day on Weekends"" | fieldformat Value=tostring(Value,""commas"") | fields - count, percent | fields Metric, Value'",2015-05-16T03:04:12+00:00,
Weekday Web Traffic Summary in IIS -,SplunkNinja,IIS,The following Splunk query will show a summary of all weekday activity for a given website in IIS. ,"'sourcetype=""iis"" (NOT date_wday=saturday) (NOT date_wday=sunday) | stats count(JSESSIONID) as Value | eval Metric=""Total Hits on Weekdays"" | append search sourcetype=""iis"" (NOT date_wday=saturday) (NOT date_wday=sunday) | stats dc(JSESSIONID) as Value | eval Metric=""Total Visits on Weekdays"" | append search sourcetype=""iis"" (NOT date_wday=saturday) (NOT date_wday=sunday) JSESSIONID=* | stats dc(JSESSIONID) as count by date_wday | stats avg(count) as Value by date_wday | eval Value=round(Value) | top limit=1 Value | eval Metric = ""Average Number of Visits per day on Weekdays""| append search sourcetype=""iis"" (NOT date_wday=saturday) (NOT date_wday=sunday) JSESSIONID=* | stats count(JSESSIONID) as count by date_wday | stats avg(count) as Value by date_wday | eval Value=round(Value) | top limit=1 Value | eval Metric = ""Average Number of Hits per day on Weekdays"" | fieldformat Value=tostring(Value,""commas"") | fields - count, percent |fields Metric, Value'",2015-05-16T03:04:33+00:00,
List of Indexes -,ItsJohnLocke,Uncategorized,This simple Splunk query will return results for indexes that the current user (typically you) have access to: *NOTE* depending on settings this may or may not return internal indexes. ,'host=* | dedup index |table index',2015-06-08T16:06:21+00:00,
Total Unique Browsers detected in IIS logs -,SplunkNinja,IIS,The following Splunk search query will show a count of unique browsers (calculation to include version) that hit a given website within IIS logs: ,'sourcetype=iis | stats dc(cs_User_Agent)',2015-06-10T17:07:59+00:00,
User Agent - Browser Details &amp; Information for IIS -,SplunkNinja,IIS,,"'sourcetype=iis |dedup JSESSIONID| eval http_user_agent=urldecode(cs_User_Agent) | lookup browscap_lookup_express http_user_agent OUTPUT ua_parent ua_crawler ua_ismobiledevice| stats count by ua_parent ua_crawler ua_ismobiledevice | rename ua_parent as ""Browser Name and Version"" ua_crawler as Crawler ua_ismobiledevice as ""Mobile Device""'",2015-06-18T10:17:03+00:00,
User Agent \u2013 Operating System Info for web traffic -,SplunkNinja,IIS,The following Splunk Query will return a list of operating systems used within IIS logs traffic. It essentially uses a lookup to check the user agent against a known list. *NOTE* The app TA-browscap_express \u2013\xa0HTTP User Agent lookup with browscap must be installed ,"'sourcetype=iis |dedup JSESSIONID | eval http_user_agent=urldecode(cs_User_Agent) | lookup browscap_lookup_express http_user_agent OUTPUT ua_platform_description | stats count by ua_platform_description | rename ua_platform_description as ""Operating Systems Used"" | sort - count'",2015-06-22T15:17:11+00:00,
Get list of concurrent users on a specific server -,rupya1983,WinEventLog:Security,,"'sourcetype=""WinEventLog:Security"" EventCode=4624 (Logon_Type=10 OR Logon_Type=2) | bucket span=30m _time | eval Date=strftime(_time, ""%Y/%m/%d %H:%M:%S"") | rex ""New\\sLogon:\\s*Security\\sID:\\s+\\S*\\s+Account\\sName:\\s+(?&lt;ACCT&gt;\\S+)"" \xa0| stats count by ACCT, _time, host | where count&gt;1 | sort - count'",2015-06-30T16:41:17+00:00,
Event Logs | System Logs | Warnings and Errors -,kharris,WinEventLog:Application,This will hit all of the host and pull back the eventlogs and group them by Message. You can change the source to what ever windows eventlogs you need ,"'source=wineventlog:application', u'source=wineventlog:security', u'source=wineventlog:system', u'host=""*"" source=wineventlog:system NOT Type=Information | stats count by Message | sort -count | table count, Message'",2015-07-06T11:02:26+00:00,2015-07-06T11:05:01+00:00
List of hosts and sourcetypes not sending data in last 24 Hours -,alacer.cogitatus,_internal,,"'|noop |append  |metadata type=hosts | table * | append |metadata type=sourcetypes | table * | eval t = now() - lastTime | where t &gt; 86400 | eval name = coalesce(host,sourcetype)| table name t lastTime totalCount type |rename t as ""Seconds since Event"" | convert ctime(lastTime) timeformat=""%m/%d/%Y %H:%M:%S %z""'",2015-07-09T16:37:24+00:00,2015-07-09T16:40:42+00:00
Failed Versus Successful Logon Attempts -,SplunkNinja,WinEventLog:Security,This Splunk search query example will return results indicating failed vs successful login attempts in a Windows environment: ,"'source=""WinEventLog:security"" (Logon_Type=2 OR Logon_Type=7 OR Logon_Type=10) (EventCode=528 OR EventCode=540 OR EventCode=4624 OR EventCode=4625 OR EventCode=529 OR EventCode=530 OR EventCode=531 OR EventCode=532 OR EventCode=533 OR EventCode=534 OR EventCode=535 OR EventCode=536 OR EventCode=537 OR EventCode=539) | eval status=case(EventCode=528, ""Successful Logon"", EventCode=540, ""Successful Logon"", EventCode=4624, ""Successful Logon"", EventCode=4625, ""Failed Logon"", EventCode=529, ""Failed Logon"", EventCode=530, ""Failed Logon"", EventCode=531, ""Failed Logon"", EventCode=532, ""Failed Logon"", EventCode=533, ""Failed Logon"", EventCode=534, ""Failed Logon"", EventCode=535, ""Failed Logon"", EventCode=536, ""Failed Logon"", EventCode=537, ""Failed Logon"", EventCode=539, ""Failed Logon"") | stats count by status | sort - count'",2015-07-21T10:52:55+00:00,
List of Universal Forwarders with Version -,SplunkNinja,_internal,"The following Splunk query will return results of any host using a universal forwarder to transmit data back to a Splunk indexer. The query will return hostname, version, as well as architecture (64-bit vs 32-bit). &nbsp; ","'index=""_internal"" sourcetype=splunkd group=tcpin_connections NOT eventType=* | eval Hostname=if(isnull(hostname), sourceHost,hostname) | eval version=if(isnull(version),""pre 4.2"",version) | eval architecture=if(isnull(arch),""n/a"",arch) | stats count by Hostname version architecture | sort + version'",2015-07-25T02:15:39+00:00,
Last Time a Forwarder Checked In -,SplunkNinja,_internal,"The following Splunk Search Query will return results based on the last time a forwarder (universal forwarder, heavy forwarder, or otherwise) checked in. The query is a modified version of a query that was packaged with the Deployment Monitor app. ","'index=""_internal"" source=""*metrics.lo*"" group=tcpin_connections NOT eventType=* | eval sourceHost=if(isnull(hostname), sourceHost,hostname) | eval connectionType=case(fwdType==""uf"",""universal forwarder"", fwdType==""lwf"", ""lightweight forwarder"",fwdType==""full"", ""heavy forwarder"", connectionType==""cooked"" or connectionType==""cookedSSL"",""Splunk forwarder"", connectionType==""raw"" or connectionType==""rawSSL"",""legacy forwarder"")| eval build=if(isnull(build),""n/a"",build) | eval version=if(isnull(version),""pre 4.2"",version) | eval os=if(isnull(os),""n/a"",os)| eval arch=if(isnull(arch),""n/a"",arch) | eval lastReceived = case(kb&gt;0, _time) | eval seconds=30 | eval event_count= tcp_eps * seconds | bin _time span=10m | stats first(connectionType) as connectionType first(version) as version max(_time) as lastConnected max(lastReceived) as lastReceived sum(kb) as kbTotal \xa0sum(event_count) as events sum(seconds) as secs by sourceHost _time | stats first(connectionType) as connectionType first(version) as version max(lastConnected) as lastConnected max(lastReceived) as lastReceived by sourceHost | eval LastReceived=strftime(lastReceived, ""%Y/%m/%d %H:%M:%S"") | fields sourceHost, connectionType, LastReceived | sort + LastReceived'",2015-07-29T15:19:08+00:00,
License Usage by Sourcetypes -,SplunkNinja,_internal,The following Splunk query will return results for license usage by sourcetype: ,"'index=_internal source=""*license_usage.lo*"" type=Usage | stats sum(b) as bytes by st | eval Megabytes=bytes/1048576 |eval Megabytes=round(Megabytes,2) | fieldformat Megabytes=tostring(Megabytes,""commas"")| rename st as sourcetype | fields - bytes | sort - Megabytes'",2015-08-04T19:42:19+00:00,2015-08-12T14:34:01+00:00
Top 5 License Consuming Hosts -,SplunkNinja,_internal,The following Splunk search query will return the top five licensing consuming hosts: ,"'index=_internal source=*license_usage.log type=""Usage"" | stats sum(b) AS volume by h \xa0| eval \xa0GB=round(volume/1024/1024/1024,5) \xa0| table h GB \xa0| sort 5 - GB'",2015-08-24T19:02:53+00:00,
Percentage of Daily License Usage -,SplunkNinja,_internal,,"'| rest splunk_server=* /services/licenser/pools | rename title AS Pool | search rest splunk_server=* /services/licenser/groups | search is_active=1 | eval stack_id=stack_ids | fields stack_id | eval quota=if(isnull(effective_quota),quota,effective_quota) | eval ""% used""=round(used_bytes/quota*100,2) | fields ""% used""'",2015-08-24T19:09:25+00:00,
Internal Splunk User Modifications -,CattyWampus,audittrail,"This query will search the internal audit sourcetype of splunk and report on any user modification attempts, both success and fail. ","'index=_audit sourcetype=audittrail action=edit_user | eval Date=strftime(_time, ""%Y/%m/%d"") |where user!=object| stats count by user, info, object, Date | rename user as ""Authenticated User"" | rename info as ""Success Status"" | rename object as ""Modified Account"" | sort - count'",2014-11-10T12:22:40+00:00,2015-08-25T15:43:49+00:00
Low Disk Space Alert for Windows Servers -,Suren,Perfmon:Free Disk Space,,"'eventtype=hostmon_windows Type=Disk host=""*"" FileSystem=""*"" DriveType=""*"" | dedup host, Name | eval FreeSpacePct=round(FreeSpaceKB/TotalSpaceKB*100) | eval TotalSpaceGB=round(TotalSpaceKB/1024/1024) | eval FreeSpaceGB=round(FreeSpaceKB/1024/1024) | search FreeSpacePct&lt;10 TotalSpaceGB=""*"" | dedup host, Name, DriveType, TotalSpaceGB, FreeSpaceGB, FreeSpacePct | table host, Name, DriveType, TotalSpaceGB, FreeSpaceGB, FreeSpacePct | sort FreeSpacePct'",2015-08-27T15:50:19+00:00,
Apache access_logs status code reporting -,Suren,access_combined,,"'index=apache sourcetype=access_combined | chart count(eval(like(status,""2%""))) AS Success, count(eval(like(status,""4%"") OR like(status,""5%""))) AS Error by status', u'index=apache source=""/var/log/httpd/access_log"" | timechart count by status_description useother=f', u'index=apache sourcetype=access_combined| timechart count by status_type limit=10 usenull=f', u'index=apache sourcetype=access_combined status_type=""Server Error"" | table host status status_description method uri_path | rename host AS ""Server Name"" status AS ""Status Code"" status_description AS ""Description"" method AS ""Method"" uri_path AS ""URL Path""', u'index=apache source=""/var/log/httpd/access_log"" | dedup useragent | eval browser=useragent | replace *Firefox* with Firefox, *Chrome* with Chrome, *MSIE* with ""Internet Explorer"", *Version*Safari* with Safari, *Opera* with Opera, *rv:11.0* with ""Internet Explorer"" in browser| top limit=5 useother=t browser', u'index=apache source=""/var/log/httpd/access_log"" | dedup useragent| eval device=useragent |replace *Windows* with Windows, *Macintosh* with Apple, *Android* with Android, *iPhone* with iPhone, *iPad* with iPad in device | top limit=5 useother=t device'",2015-08-27T15:54:51+00:00,
Free Disk Space for each Drive Letter -,SplunkNinja,Perfmon:Free Disk Space,The following Splunk query will return results for all hosts reporting in Perfmon data on available disk space per assigned drive letter (NOTE you must make the change to include free diskspace per partition in your inputs.conf file) Query: ,"'sourcetype=""Perfmon:Free Disk Space"" counter=""Free Megabytes"" (instance!=""HarddiskVolume*"") (instance!=_Total) |eval FreeSpace=(Value/1024)| eval GB=tostring(FreeSpace,""commas"") | table host instance GB | sort + host instance | rename instance as ""Drive Letter"" GB as ""GigaBytes Free""'",2015-09-01T13:47:56+00:00,
Network Traffic Received in Megabytes over Time -,SplunkNinja,Perfmon:Network Interface,"The following splunk query will show a timechart of network traffic received over a period of time for any host specified (make sure you edit the query to specify a host, this one defaults to all). The query also converts the default value of Bytes to Megabytes. &nbsp; ","'sourcetype=""Perfmon:Network Interface"" (host=""*"") \xa0counter=""Bytes Received/sec""| eval MB=(Value/1024/1024)| timechart avg(MB) by host'",2015-09-03T19:00:02+00:00,
Network Traffic Sent in Megabytes over Time -,SplunkNinja,Perfmon:Network Interface,"The following splunk query will show a timechart of network traffic sent\xa0over a period of time for any host specified (make sure you edit the query to specify a host, this one defaults to all). The query also converts the default value of Bytes to Megabytes. &nbsp; ","'sourcetype=""Perfmon:Network Interface"" (host=""*"") \xa0counter=""Bytes Sent/sec"" | eval MB=(Value/1024/1024) | timechart \xa0avg(MB) by host'",2015-09-03T19:02:26+00:00,
Splunk Query Count by users -,databeastmaster,_internal,,"""index=_audit search=* NOT (search_id='scheduler* OR search_id='Summary*) user=admin | timechart span=1d count by user usenull=f""",2015-09-15T15:14:38+00:00,
Introspection - Memory used by SID (Search ID) -,chubbybunny,_internal,Chart memory used by each SID (search ID) using the Introspection logs ,"'index=""_introspection"" \xa0""data.process""=splunkd | timechart max(data.mem_used) by data.search_props.sid usenull=f useother=f'",2015-09-28T19:27:37+00:00,
